"dataset","arm","spec","erc50","erc50_lo","erc50_hi","nsec","max_rhat","divergent"
18,"A","disp",5.05001423589418,4.40211405782753,5.78994306166622,1.66191349946124,1.00449788693077,0
18,"B1","disp",4.99451957396127,4.29158718947783,5.82693950295482,1.67813078754786,1.00096637922164,0
18,"B2","disp",5.06851245653848,3.90312455594751,6.82584341774707,1.72242333928984,1.00137819324717,0
18,"B3","disp",4.80953736751826,4.16209964496773,5.5679644139346,1.70101263369714,1.00313817271821,0
18,"C","disp",4.97602135331697,4.25412829267312,5.80844128231052,1.66212660574645,1.00456053072814,0
18,"D","disp",5.16852554921034,4.20069626747167,6.58398337088144,1.64931361746986,1.00263337905417,1
18,"A","homosced",5.12400711847138,4.53206405785375,5.93792882682062,2.16365440218702,1.00257120071694,0
18,"B1","homosced",4.97602135331697,4.34708185141074,5.75294662037761,1.71034198820176,1.00068463106882,0
18,"B2","homosced",4.80953736751826,3.51466192241719,6.30789323970664,3.15621186077506,1.00633955930847,1
18,"B3","homosced",4.79103914687396,4.21759430690063,5.4754733107131,1.7539713857949,1.00253192855232,0
18,"C","homosced",5.21649822169288,4.56906049914235,5.86393594424342,1.71914970004744,1.00243935802426,0
18,"D","homosced",5.16852554921034,4.54476447525359,5.88824986531429,1.71658032087565,1.00209848293145,0
19,"A","disp",5.32748754555869,4.68004982300816,6.03088238555824,1.97526914339505,1.0016253686178,0
19,"B1","disp",5.14250533911568,4.55056227849805,5.80844128231052,2.20646653927117,1.00848210421373,0
19,"B2","disp",5.5864626345789,4.43957295463224,7.43628469900901,1.97544841823382,1.00475373126871,0
19,"B3","disp",5.03151601524987,4.47656939592084,5.64195729651181,2.35052289403385,1.00195687569885,0
19,"C","disp",5.32748754555869,4.62455516107525,6.04891815068643,1.99491814379847,1.00276720364238,0
19,"D","disp",5.38444284404153,4.376828801496,7.05600256819295,2.00985676522328,1.00296550523858,0
19,"A","homosced",5.4754733107131,4.82803558816256,6.16036993006835,2.49764684097095,1.00432799866197,0
19,"B1","homosced",5.12400711847138,4.56906049914235,5.80844128231052,2.22069088288593,1.00339860992892,0
19,"B2","homosced",4.79103914687396,3.7181423495045,6.04891815068643,3.30507560591015,1.00236048525771,1
19,"B3","homosced",5.01301779460557,4.49506761656515,5.60496085522321,2.33912972454349,1.00357740915964,0
19,"C","homosced",5.4569750900688,4.82803558816256,6.12291103326363,2.05304897499419,1.00276843346466,0
19,"D","homosced",5.31247041243113,4.4088165488784,6.10416716014548,2.14829418463034,1.00288588766543,1
20,"A","disp",5.10550889782708,4.56906049914235,5.71595017908901,1.97357109672146,1.00312350591209,0
20,"B1","disp",5.03151601524987,4.51356583720945,5.64195729651181,2.07954573637876,1.0035164103243,0
20,"B2","disp",5.38298220749159,4.21759430690063,7.1407756242163,2.03854523128118,1.00160009424645,0
20,"B3","disp",4.93902491202837,4.40257651334364,5.4939715313574,2.30376842539068,1.00165607414463,0
20,"C","disp",5.25349466298149,4.66155160236385,5.84543772359912,1.91907228287868,1.0026523605515,0
20,"D","disp",5.33646122296793,4.60074303317278,6.23211814967507,1.86645781340337,1.00512513768543,0
20,"A","homosced",5.10550889782708,4.56906049914235,5.73444839973331,2.25698934655488,1.00174044247352,0
20,"B1","homosced",5.05001423589418,4.47656939592084,5.71595017908901,1.97785849629843,1.00652559904981,0
20,"B2","homosced",4.77254092622966,3.625651246283,5.91943060617632,3.28836116591367,1.02041104089892,1
20,"B3","homosced",4.90202847073977,4.36558007205504,5.4754733107131,2.10758045133202,1.01074204514031,0
20,"C","homosced",5.27199288362579,4.75404270558536,5.84543772359912,1.91699126248416,1.0022007718144,0
20,"D","homosced",5.32046734927673,4.63273078055518,6.00840384141943,1.91206305769267,1.00446583210714,0
21,"A","disp",4.55056227849805,4.12510320367913,5.01301779460557,1.71491021266575,1.00520313078284,0
21,"B1","disp",4.31008541012214,3.94012099723611,4.75404270558536,1.9536939377432,1.00551887068768,0
21,"B2","disp",4.56906049914235,3.6441494669273,5.75294662037761,1.8480028424742,1.00235099283227,0
21,"B3","disp",4.25459074818923,3.88462633530321,4.66155160236385,2.01136902064354,1.00224194258281,0
